px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
97.4535	18.7326	1.52845	-0.179576	0.161369	97.5286	18.727	97.45	18.506	0.868716	-0.503009	1.97758
97.3973	18.7287	1.36555	-0.346217	-0.0947163	97.5333	18.1735	97.45	18.506	0.868716	-0.503009	0.975086
98.2293	18.3677	1.20355	-0.389086	-0.0681116	98.2105	18.3739	98.3198	18.0049	0.882805	-0.506023	0.125571
98.2297	18.3679	1.16943	-0.458492	-0.210998	98.4162	18.1556	98.3198	18.0049	0.882805	-0.506023	0.42532
99.018	17.3793	1.44773	-1.06232	-0.433428	99.0363	17.357	99.2049	17.503	0.908006	-0.509278	0.492626
99.0395	17.4103	1.42689	-0.758452	0.00637308	98.9782	17.2949	99.2049	17.503	0.908006	-0.509278	0.759406
99.9985	16.9539	1.12167	-0.404639	0.204304	99.9969	16.9882	100.117	17.0001	0.944242	-0.512134	0.765961
100.065	16.9707	1.12312	-0.386533	0.16685	100.441	16.9521	100.117	17.0001	0.944242	-0.512134	1.80942
101.163	16.5405	1.4343	-0.179993	0.18942	101.204	16.5368	101.065	16.497	0.991362	-0.513687	0.548055
101.127	16.531	1.2806	-0.301473	0.00972647	101.169	16.4353	101.065	16.497	0.991362	-0.513687	0.552533
102.345	16.3952	1.54474	0.0885229	0.236747	102.387	16.3992	102.063	15.9949	1.04911	-0.512803	0.667457
102.247	16.39	1.27291	0.0472511	0.180595	102.081	15.8359	102.063	15.9949	1.04911	-0.512803	1.88999
103.04	15.3945	1.02704	-1.08129	-0.596982	103.003	15.353	103.119	15.4967	1.11708	-0.508169	2.38632
102.994	15.4537	1.11883	-0.608926	0.0440391	102.776	15.1195	103.119	15.4967	1.11708	-0.508169	2.77846
104.078	15.2437	1.19535	0.0430125	0.418247	104.114	15.2708	104.244	15.0064	1.19469	-0.498349	1.00676
104.046	15.2308	1.21887	0.00783799	0.402251	103.905	14.7607	104.244	15.0064	1.19469	-0.498349	0.617712
